Date,gold,silver,coffee
2023-09-01,1939.800048828125,24.23200035095215,150.9499969482422
2023-09-05,1926.199951171875,23.558000564575195,151.39999389648438
2023-09-06,1918.0999755859375,23.20599937438965,151.75
2023-09-07,1917.5,22.950000762939453,147.39999389648438
2023-09-08,1918.4000244140625,22.892000198364258,146.25
2023-09-11,1923.300048828125,23.10300064086914,151.5500030517578
2023-09-12,1911.300048828125,23.12700080871582,150.6999969482422
2023-09-13,1909.0999755859375,22.91200065612793,151.0500030517578
2023-09-14,1910.0,22.74799919128418,153.10000610351562
2023-09-15,1923.699951171875,23.125999450683594,158.25
2023-09-18,1931.5,23.23200035095215,158.6999969482422
2023-09-19,1932.0,23.194000244140625,167.5
2023-09-20,1945.5999755859375,23.57900047302246,158.1999969482422
2023-09-21,1919.199951171875,23.444000244140625,154.85000610351562
2023-09-22,1925.4000244140625,23.59600067138672,151.14999389648438
2023-09-25,1916.5999755859375,23.145000457763672,148.8000030517578
2023-09-26,1900.4000244140625,22.950000762939453,150.85000610351562
2023-09-27,1871.5999755859375,22.476999282836914,149.25
2023-09-28,1860.4000244140625,22.514999389648438,147.1999969482422
2023-09-29,1848.0999755859375,22.236000061035156,146.14999389648438
2023-10-02,1830.0,21.218000411987305,149.10000610351562
2023-10-03,1824.5999755859375,21.17799949645996,148.75
2023-10-04,1818.5,20.95599937438965,146.35000610351562
2023-10-05,1816.5999755859375,20.847999572753906,145.39999389648438
2023-10-06,1830.199951171875,21.540000915527344,146.0500030517578
2023-10-09,1849.5,21.740999221801758,146.0500030517578
2023-10-10,1861.0,21.775999069213867,147.5
2023-10-11,1872.800048828125,21.957000732421875,147.6999969482422
2023-10-12,1869.300048828125,21.79199981689453,149.3000030517578
2023-10-13,1927.4000244140625,22.726999282836914,154.89999389648438
2023-10-16,1921.0999755859375,22.610000610351562,154.14999389648438
2023-10-17,1922.699951171875,22.863000869750977,157.0500030517578
2023-10-18,1955.300048828125,22.944000244140625,158.0500030517578
2023-10-19,1968.4000244140625,22.886999130249023,163.9499969482422
2023-10-20,1982.5,23.35099983215332,165.25
2023-10-23,1976.300048828125,23.07200050354004,165.85000610351562
2023-10-24,1975.0,22.979999542236328,168.14999389648438
2023-10-25,1984.0999755859375,22.87700080871582,162.3000030517578
2023-10-26,1987.199951171875,22.78700065612793,161.1999969482422
2023-10-27,1988.5999755859375,22.770000457763672,160.9499969482422
2023-10-30,1996.199951171875,23.281999588012695,159.10000610351562
2023-10-31,1985.199951171875,22.840999603271484,167.3000030517578
2023-11-01,1978.800048828125,22.684999465942383,159.8000030517578
2023-11-02,1985.5999755859375,22.750999450683594,165.35000610351562
